origin,dest,passengers,fare,season
JFK,LAX,3512.9,515,jkklllhhkmm
LGA,ORD,3043.5,203,nnnpmidehkn
LAX,SFO,2863.1,152,jlkmkjhkkkm
EWR,MCO,2503.4,179,ijfjlnkloni
JFK,SFO,2338.5,479,kllmlkggjln
LGA,MCO,2178.4,167,jlgjkllmlmi
LGA,MIA,2168.5,235,hihijnmnnlj
MCO,PHL,2141.8,174,ikhjklklnmj
DEN,PHX,2133.6,171,hhimmlimpkk
ATL,LGA,2115.6,227,mklnlnfhijm
EWR,LAX,2088.4,391,lmkmmpfgkih
MCO,ORD,2008.3,189,kihljkinqki
HNL,OGG,2006.0,95,pnikilikijj
LAS,LAX,1950.8,124,mnmlkkjkjhh
LAX,ORD,1944.7,272,qolmllcdkjl
EWR,SFO,1888.4,543,lklmkkeflmo
MCO,SJU,1863.2,177,qkhklnkijij
ATL,FLL,1796.4,137,kgfiloimnnk
HNL,LAX,1795.6,313,soijimfgkkk
FLL,LGA,1756.6,185,gifilolnomi
DFW,LGA,1755.4,275,mjknmnffkkl
BOS,MCO,1747.0,203,gieijnkpmsi
BOS,ORD,1744.2,183,ppmqlhbchko
PHX,SEA,1734.0,199,jiijjmhmook
LAS,SFO,1697.3,166,jkklkljkill
EWR,FLL,1690.6,192,hidilpnoplf
ATL,EWR,1690.2,183,lkkllmgiklk
SAN,SFO,1673.7,155,nmkollfhiji
DEN,LAS,1669.3,172,jikmjkijmll
DFW,ORD,1667.6,217,mklmlkdhkmn
DTW,MCO,1641.1,199,hieijnjrrmf
LAX,SEA,1619.8,207,oojjjkeijmm
ORD,SFO,1619.2,316,rplmjicejko
JFK,MCO,1611.6,171,mmgiloijkni
BOS,DCA,1592.2,180,ikloljdglmo
BOS,SFO,1588.7,393,pnlnjjdfhln
ATL,MCO,1579.5,178,lhjmjkhmknk
ATL,DFW,1569.2,207,kjjnljflllj
ORD,PHX,1562.7,247,gfgkjlhnunk
BOS,LAX,1558.2,370,onjmklfhjkl
SEA,SFO,1536.4,211,oomlkjeiikl
LAS,SEA,1530.8,186,lljkjkhjjnn
EWR,ORD,1509.8,210,lllmmldfklo
LAS,ORD,1478.9,240,kkoniggjmll
DEN,ORD,1474.6,205,qqoohidgjhm
DFW,LAX,1471.3,242,rmkolkfhjhh
ATL,MIA,1425.7,174,kghklnillml
HNL,KOA,1423.6,97,pnjlilikjii
DEN,LAX,1418.8,182,lkjmjmhikjn
ATL,ORD,1418.2,209,qolnihehikl
LAX,MCO,1374.8,279,mjijlmjjlmk
DFW,MCO,1367.0,206,lgilkmikmll
HNL,LIH,1351.8,96,pnjkjkijiij
MSP,PHX,1351.3,242,gffkjmkqulh
ATL,LAX,1348.8,336,pkkmllfihjl
DEN,DFW,1346.2,185,mkkojlgklhk
DCA,MCO,1331.1,166,lkhkjnijmll
DEN,MSP,1321.6,173,urnnhjeghgk
DEN,MCO,1319.3,239,lghkjolnphi
SAN,SMF,1313.7,156,mmklkjgilll
JFK,LAS,1313.4,337,llmnjihgimm
DEN,SAN,1312.9,162,mkjmjkgkojk
DFW,LAS,1310.0,224,ljkokliklij
LAS,SAN,1306.8,120,npnmiihiihk
JFK,SJU,1306.8,231,rqghklikikh
HNL,ITO,1292.4,101,pliljliliki
ATL,BOS,1291.1,254,ollolkdfikn
DEN,SEA,1274.2,191,trnkhidfhim
EWR,MIA,1272.4,233,hhehjqloplj
BWI,MCO,1271.6,172,lkgkmnklklg
JFK,MIA,1267.1,209,kjgjnmklllk
EWR,PBI,1256.8,237,eecglsmpsmi
SAN,SEA,1253.4,211,ppiihkfiinm
IAH,LAX,1231.0,220,pkinlmgjjji
FLL,JFK,1229.1,194,jkeikqjmnli
SAN,SJC,1226.4,160,mnklklfjklk
IAH,ORD,1223.2,209,mkllikeimkn
ATL,PHL,1216.4,213,qnknkjdihkl
IAH,LGA,1212.2,257,nlknlmfgikk
ATL,DEN,1212.0,235,omklhmgliik
LAS,PHX,1197.3,172,gikmkklnmkj
LAX,PHX,1195.6,160,hikolkimlkl
MCO,MSP,1192.1,220,ifcihlmqylg
FLL,ORD,1181.6,188,ffdhkpnptlh
FLL,PHL,1166.7,151,gidgipmoqnj
ATL,LAS,1156.5,339,kimnjjikjll
DEN,LGA,1156.5,268,nnmmjkghjil
DEN,SFO,1143.7,238,mmllkkfjkjl
MIA,ORD,1143.4,226,ihfhjmlnslj
LGA,PBI,1120.3,258,efcglqnqpoj
ATL,DCA,1113.7,225,mkmnkkdikkn
PHX,SFO,1101.2,179,hghklminpmj
DTW,LGA,1100.7,184,mmknmnfhikj
BOS,FLL,1100.5,199,ggfjjojqppf
BOS,DEN,1100.3,254,sqmnhjdfhhl
PHX,SLC,1099.5,203,ihjmjijnnnj
LGA,TPA,1098.1,194,kkgklqjlkji
ATL,JFK,1083.5,171,llloopfghhi
ORD,SEA,1083.5,238,xvnlihabfhn
EWR,LAS,1083.5,336,jkiljghknon
ATL,IAH,1082.3,182,mijmkigmmmk
ATL,DTW,1082.2,185,solnhheiikk
ORD,TPA,1078.7,198,jheijoimqnk
PHX,SAN,1076.7,145,kkkmjihllkl
ATL,TPA,1074.8,189,mjlmkjgljnk
CLT,LGA,1068.9,190,nnmpmmdfhjj
ORD,RSW,1064.1,239,dc9ejpmuBof
IAH,MCO,1062.4,175,lggnllinmkj
AUS,DEN,1052.8,186,lkknkmgkmjj
LAS,MSP,1040.2,220,mhimiihkpmk
DFW,SFO,1038.4,262,kjjomlejkkn
PDX,PHX,1037.9,208,jhhllmhlplj
DFW,EWR,1037.9,258,jhkmlngjlkn
BOS,TPA,1037.8,217,jigjklhmnqj
DTW,FLL,1034.2,208,fgafjpltung
LAS,SMF,1034.0,160,poonjihhihi
LAX,SLC,1033.0,186,jjlnilnnjih
DFW,PHX,1030.5,246,hfimmkhnpkl
DFW,SEA,1030.2,247,tollildghin
DCA,ORD,1028.0,232,nmlpkhbfklq
ATL,BWI,1023.0,176,rnmpmibghil
DEN,SLC,1017.8,170,klnmjjjliik
PHL,TPA,1016.1,198,highjjhpwnj
ORD,PHL,1009.0,218,ponokgbdhkq
SEA,SNA,998.9,221,nnjjimhkikk
BOS,DFW,993.8,281,qmlrljdghik
EWR,TPA,987.1,205,llfklogjmlj
LAS,SJC,973.7,170,ppomkjgggij
DEN,IAH,973.6,219,nkikjohlkhk
DTW,TPA,963.8,197,hfdhhoktumf
SEA,SJC,950.4,211,polkjjfkijl
BOS,MIA,945.6,240,iifjjjkqooj
LAX,PDX,938.2,187,pmilkkegjmm
ORD,SAN,930.4,229,nmjljleinkk
JFK,PHX,925.5,326,ffglkoikool
DTW,LAS,922.7,281,jilpjihjlmj
MCO,RDU,921.8,151,hgiljljnnmm
BNA,MCO,921.2,198,ifjqkkjomji
BOS,PHL,918.5,185,lknpmhdgjkn
IAH,LAS,914.6,231,kjklkkhlmjk
CLE,MCO,907.2,155,jgehjljnrol
LAS,SNA,901.9,134,nnmkjjijkkh
LAS,PDX,896.0,182,mllljjhijll
BNA,LGA,894.6,206,jkknllegkmn
MSP,RSW,883.1,253,ca8fjnovDpe
DCA,MIA,879.9,225,lkhkmmijlkl
HNL,SFO,878.7,350,rlhjjoeiklj
LAS,OAK,873.4,163,nonkihgijkl
FLL,LAX,868.0,326,jhgjlpllnli
JFK,SEA,866.7,352,rsnmjjcdfim
EWR,IAH,858.7,279,llimmregmjh
SFO,SNA,858.1,207,omjllkghjkk
DEN,TPA,857.5,230,nigjinimpjl
MSP,ORD,857.1,214,popomjdefjk
AUS,LAX,857.0,268,mhholjeholm
JFK,SAN,853.4,334,lljllnfgkml
LAX,MIA,851.9,443,khdilpkjomk
DTW,PHX,848.4,276,jggljohmolk
EWR,PHX,843.0,325,hghmmphknll
AUS,LAS,838.1,216,okjnllhkkhj
IAD,LAX,828.8,353,nifjjnehlnr
PHX,SNA,828.6,194,ijlnjjinmii
LAX,MSP,828.0,261,vqjmilffihj
LAS,MCO,826.9,247,khhikkjlpkn
ATL,PHX,825.0,310,hfinkmglkpm
LAX,PHL,821.8,363,qoknkmcfijl
HNL,LAS,820.0,389,kjmnlkgikim
EWR,SJU,814.2,245,oofehnmmmlf
CLT,MCO,811.2,185,gghmkkjoooh
BUR,LAS,809.7,147,kolmjkijkkh
ATL,SFO,808.8,375,nkkmkkdijmn
DTW,RSW,806.8,254,bb8ejqnvEpd
OAK,SAN,806.2,161,nponjjcfgko
DFW,DTW,804.8,268,pnlolmdghjj
BOS,RSW,804.6,245,ecbfiojtwvh
DFW,FLL,804.5,184,ieejhoinsnm
LAX,SJC,804.4,175,monqmlfhifh
IND,MCO,803.6,195,idhrikjoqli
LAS,SLC,794.8,179,iknmijjlkkj
BOS,RDU,792.0,195,llmqlkbfjmm
BDL,MCO,790.6,173,ilchlkipnri
BOS,LGA,787.0,261,jjppkifihko
MCO,PIT,783.7,196,hhhlkjkpmmj
LAX,SMF,783.5,164,ijknljgjklo
MCO,MDW,783.2,185,ojimklhjoih
AUS,SFO,774.9,275,hijnllfjlmn
DFW,MSP,772.7,250,ollnkldhkjl
BOS,PHX,769.0,299,hfiojlglmpl
DFW,MIA,765.2,250,mkjlmnhilii
DEN,PHL,764.7,254,trnmijbfhil
BOS,SEA,763.7,323,vwpmghabeio
MIA,PHL,762.9,211,gjeinlkonoh
LGA,RDU,761.3,181,lmmnlnfggkk
EWR,SEA,758.6,298,ptnlilbchkn
CVG,MCO,757.6,171,kffkjkloonk
IAH,MIA,754.8,188,olhklmhkkhk
DTW,LAX,754.5,349,qojnineijih
PHL,SJU,747.4,199,ljccfllnsqn
ATL,MDW,746.8,176,ommnjkeihjn
HNL,SEA,746.4,358,moijjogkhmj
BWI,FLL,744.3,166,jkfllnknmmf
IAD,SFO,742.7,439,mkjmmlcgkmp
CLT,ORD,741.9,200,mmmokjdgimm
LAS,RNO,740.8,167,jlkmmjhkmli
DEN,SNA,738.9,216,onmnklfikhj
MDW,PHX,735.6,201,kihojkflqkk
DEN,IAD,734.6,295,pmljhleikkm
AUS,JFK,734.5,321,jikomlfiklo
SAN,SLC,734.1,186,jjilhkjnmlk
EWR,RSW,731.3,241,ffcimpjosni
DEN,PDX,728.7,181,urnnijcdhil
DFW,PHL,727.7,310,mjknolegkjl
BNA,BOS,725.0,207,pnmwkgadikm
DEN,EWR,724.0,298,oolmknfhkgj
SEA,SLC,720.3,208,oomkhjfjjkl
BOS,PBI,720.2,240,fdbhkolrqrj
CLT,EWR,719.9,191,kkjnmoehlmi
SEA,SMF,717.3,181,poljijfhikm
BNA,DEN,715.6,217,qmnpiieijil
BOS,LAS,714.2,336,hhkoihhimqm
AUS,ORD,713.1,223,mklokidglln
DEN,MIA,710.8,234,khfhjpnpphi
DEN,DTW,710.5,224,sqnmhkehigk
MCO,STL,710.3,222,lggjillnpjl
JFK,TPA,709.8,166,noihmnhhilj
AUS,EWR,706.7,279,ighmmrfgpni
MCO,PHX,703.0,301,jcfmjnlpokl
BOS,SAN,700.5,318,nnjnjkdgknl
CMH,MCO,693.4,193,ihjnkkjoojh
BUF,MCO,690.5,173,glfikmhmpok
DFW,SAN,687.0,249,pkilijeimkp
IAD,MCO,679.5,185,iigjklkkonm
MCO,PVD,678.7,184,jkfkmmimiol
DCA,LAX,675.5,373,jjijknhkmlm
PDX,SFO,674.5,196,onkmlieiikk
BOS,SJU,672.6,236,lkabenlsrqj
DTW,EWR,672.2,176,momnlmegkjh
AUS,MCO,672.0,214,jefnmnimnjm
MIA,SJU,668.1,206,ljghknkknlk
LAX,OGG,667.0,362,wrihikeeilk
PHL,SFO,666.3,360,onkmkmcfhlo
BNA,LAX,664.5,315,nkmrllceijn
BOS,DTW,662.7,231,pqormibdfjl
DFW,SLC,662.0,254,mjjkiohknjk
MSP,SEA,660.5,246,DAmkhiabcgk
ATL,AUS,659.7,250,jikpojdkkll
DAL,DEN,655.2,179,qlkmjmgjigj
BUR,OAK,654.4,175,jnmnlkgjiij
FLL,SJU,654.3,169,snfhmojhjhj
EWR,RDU,654.0,163,ilimmoeimmk
CLT,DFW,649.8,296,nijommejjll
MSP,SFO,648.2,286,vpmnikddgjk
BOS,EWR,643.4,195,iinpmkdhlko
MSP,TPA,642.3,227,kgchhmkpwnh
MCO,SEA,639.9,333,nmhhhmhmiol
ATL,SEA,639.1,346,tpmjhlcefkq
ATL,IAD,637.4,185,llkolldhhkr
AUS,PHX,635.8,234,hgjqmlhmmlj
DEN,STL,633.4,205,qoonjiegihj
IAH,SFO,633.4,354,jhhlmmgkmmm
DTW,IAH,633.3,210,nmimlkejmlj
BOS,IAH,632.6,294,qmjpkkdgjkl
MCO,MSY,632.3,168,lfhpkkkqhkj
DEN,MCI,631.5,194,onopjieihik
DCA,DFW,631.2,286,jhjnkkdinmp
MCO,SLC,630.0,322,iegjinlolom
DCA,FLL,627.1,172,iidjkqjknlm
BWI,TPA,624.7,205,mlgjjkejool
PDX,SAN,623.0,207,oniljlehllk
BOS,CLT,622.9,267,omnrlkaehll
LAS,SAT,619.6,222,mjmnlpgkigj
BUR,SFO,617.9,177,jkilkjhjoml
JFK,PBI,616.6,197,hifjmpknnmh
DFW,TPA,615.9,228,nihjjlglmkn
PHX,SMF,614.3,236,fgjonkgkplk
ONT,SEA,612.5,188,utljkmeffhi
LGA,STL,609.4,235,mmlnmnddjkm
BNA,ORD,608.9,199,qopskgbfhjk
DAL,LAS,607.3,223,mjiojliljhn
AUS,BOS,599.2,270,lllqkkdgkll
LAS,PHL,598.7,328,llmpihfhjnm
BNA,TPA,593.1,197,ljjmkkfkmll
BOS,MSP,591.8,326,usoqkka9eim
LAS,MDW,590.9,214,nkpmiighkjm
SFO,SLC,589.4,218,mkklgijomjk
MCO,SFO,587.4,342,phfhlqiklli
ATL,RDU,584.4,217,jklpkjfmkkl
CLT,PHL,583.7,210,lmlpnldgikl
OAK,SNA,581.2,202,ookmkkejjkj
DTW,MIA,581.0,223,fgcgjomtvlf
ATL,MSY,580.1,199,nlhpmkflhkj
FLL,IAH,579.8,173,khgmloilolg
EWR,SAN,575.9,349,lmkmjmehkll
CLT,DEN,575.8,220,qllnimejiil
ORD,SNA,574.0,320,omkmikgilil
DCA,LGA,569.1,202,iinnjifjkmp
BNA,PHX,568.7,276,gfjplkglolm
AUS,SAN,568.1,215,ljinllfkmkk
SJC,SNA,566.2,243,imnolkfkkjh
DCA,TPA,563.1,229,kjhjjnhkokl
ATL,MSP,560.1,312,sqookicffki
DEN,MDW,558.7,173,xqmmkleeggh
BWI,LAX,558.4,263,ssqrkjacgih
BNA,FLL,557.1,171,kgfploinnje
AUS,SEA,553.5,267,qnkljkdgjln
CLT,FLL,553.0,170,hhgmjmimpqg
MCI,MCO,550.3,241,lgikjkkqkjj
DAL,MCO,549.5,215,mefokoimkil
IAH,PHX,548.7,224,feholminpkn
OAK,SEA,546.9,182,ttoljkehegi
BNA,PHL,546.2,212,nnosmfaeiml
BOS,BWI,544.9,201,tplnkgadhmn
BNA,EWR,544.8,200,nlopkkbeilm
MCI,PHX,544.8,260,eehnmlhprkj
ORD,SJU,543.9,270,libcgnmnxll
PHL,PHX,542.7,354,geinlmglpol
ORD,RDU,542.2,206,onlrmjbdhln
HNL,SAN,541.4,326,onlkkmhhkij
ATL,CLE,538.9,187,rnknjjdihkn
LGA,MSY,538.1,233,iihmmmhlknk
ISP,MCO,537.0,158,lnijmmhjilj
MIA,SFO,535.4,366,lifhmnkmmll
DAL,PHX,534.1,227,jijpnlfmlij
LAX,MSY,530.4,281,mghqnmemjli
DAL,MDW,530.1,187,onnnjlcfikm
IAH,SEA,527.8,299,toklikdgijn
IAH,PHL,525.4,252,pkikklehlln
MIA,RDU,525.1,172,lkhlllikkll
PBI,PHL,524.8,256,fe9fjpmsupi
FLL,LAS,523.5,275,jhfjmmlmpji
CLE,TPA,521.9,142,kjgggkhnson
DCA,DEN,517.4,210,llkmjlhjljk
PHX,STL,516.1,247,fehnmnioqkk
BNA,LAS,515.6,289,ihlsjhglnkk
EWR,MSP,514.3,269,rtnnjnccfhk
DEN,IND,512.9,218,upooijcfihk
CLE,FLL,512.5,166,fgbfhlmsvnl
DEN,SAT,512.1,197,mjjnjphjmij
BNA,DFW,511.9,240,hjlqliekkml
BWI,MIA,511.2,187,nofhimklkkk
BUR,SEA,510.9,218,pplkjmegikj
LGA,MSP,510.5,377,opmnllddiim
LAS,MIA,508.8,341,nmjmllihhjk
DFW,SNA,507.8,379,mhinlmfinkm
MCO,MKE,506.5,220,igcihomqtji
LAS,STL,503.9,260,hhmojjkknjk
PDX,SNA,503.4,220,kmmnlngiiji
DEN,HOU,502.9,200,olkljohlkgh
SMF,SNA,502.6,239,jlnnlkfillj
ATL,DAL,501.0,233,omlokjdjijm
MSP,SAN,500.9,290,qmimijhjoih
LAS,TPA,500.9,273,ljkojijkjll
HPN,PBI,500.8,237,gggkklmnrmi
ATL,SJU,500.4,259,tgdghohjonl
CLT,IAH,500.3,217,kkjmllekmlk
JFK,SLC,499.8,419,kkijgnjqohi
JFK,ORD,499.8,175,lljopmggmfk
BNA,DCA,499.7,229,ljlpkjbhmmn
BWI,DEN,499.2,267,tponjjcehhl
PHX,SJC,498.2,235,ehkrolfjnkj
DFW,RDU,495.9,241,lkkplldjjkl
CMH,LGA,495.0,210,lnnpnodegik
BNA,MSP,491.8,213,tnnqkhbehll
OAK,PHX,491.6,190,jiimklhlnll
BUR,SMF,491.4,198,imoolkfijkk
JFK,LGA,491.3,609,lkjontefihk
MDW,TPA,491.1,189,okililgiokl
SJU,TPA,491.1,190,qjfgmojgmjk
BUR,PHX,490.4,196,hikokjglnmk
DTW,SFO,490.0,420,qnkmjmcghjn
LGB,SMF,489.5,168,iikmmmimjkj
ATL,SAN,488.4,339,nkmnlmgiiji
ORD,SLC,487.5,320,mmmmfjgmnhl
DEN,SMF,481.7,229,nnnnjkegijm
JFK,RDU,481.5,156,nojloodghjk
LAS,MCI,480.4,251,ihlpkkjlmji
AUS,BNA,478.5,200,miksmjcilkj
RDU,TPA,476.5,166,kigjkmgkmnm
CLT,MIA,475.2,220,igfknpjmmni
DCA,PBI,475.1,195,ggdglploqlk
ORD,PDX,472.0,252,wsnoij9cghm
PHL,RSW,472.0,248,ecbglolvylg
HOU,LAS,469.5,228,nklojkhkjhk
ATL,HOU,468.9,207,ollpmlchjij
MKE,PHX,467.1,239,ffflknhovli
BWI,LAS,466.4,289,jkotkgfgjkk
DEN,RDU,466.3,244,rnklhmdhkjl
LGA,MDW,464.6,181,oollkgeghlp
DFW,IAD,463.2,230,nlmpigcikko
DCA,DTW,462.9,224,jkknnjejkmm
LAX,TPA,461.8,335,jgehmqkmnmj
FLL,SFO,461.8,346,jddhnskmnnh
DAL,HOU,461.6,217,jloqijgojii
IAD,SEA,461.1,321,yuljfi9chkq
CLE,LAS,457.8,224,jjlmmhhjnlm
CLE,RSW,457.3,193,hebdhlkuAni
CLT,LAS,457.2,356,nhknjhgjmnl
EWR,SLC,456.4,347,ijjidkmqshk
DFW,ONT,452.7,230,lijmlnfilkl
LAS,LGB,448.6,135,kkkmlmijiin
DFW,IAH,448.3,229,hknohkgojkk
IAD,SAN,448.1,345,nlikjmejmlm
ANC,SEA,446.5,296,yvlhfhdfhhm
BUR,SJC,445.7,192,koopmjeiiij
DFW,PDX,445.4,244,qmknkldhhil
PDX,SMF,445.4,183,lnmnjlfiijk
AUS,MIA,445.0,207,iggjlnilnmm
ATL,STL,445.0,224,nllokidijlm
HOU,MDW,444.4,199,rnllijdeljn
DCA,MSP,443.9,276,lnlmjleglkn
MSY,ORD,443.5,213,hfgtkggoqoi
DEN,ONT,441.1,164,romnkifhhij
ONT,SMF,441.0,219,ijlmkkfkmml
MCO,RIC,440.8,149,ligjlnilnli
DEN,MSY,440.7,234,hefojoirmlj
LAX,SAT,440.2,228,tnlonqdefgi
PVU,SNA,439.8,97,nkhiggklmoo
PHL,RDU,438.3,206,lnnqljdhhjk
MIA,PHX,437.7,328,gdflknmkqml
PDX,SJC,436.7,200,konmknejgjj
ISP,PBI,432.5,211,iigijqmqjlg
MCO,SAN,432.1,268,lffgkmklnol
LAX,OAK,431.3,181,illnllgkjjj
BOI,SEA,431.2,169,mmlljnhiikk
LGA,PIT,430.4,177,lnnnllgghjl
BNA,MIA,430.1,224,hhlpjjhkmkn
HOU,MCO,429.6,217,pggolmgjljl
BOS,JFK,428.9,161,jkrsnldeifl
DEN,JFK,428.6,226,qrimkqdgjgi
FLL,RDU,427.5,154,jhehmpikook
PDX,SLC,427.3,201,oolnhjeiill
DCA,SFO,426.7,394,jjkkkmfjmml
CLT,LAX,423.7,360,oihnkoehjml
FLL,PIT,423.2,158,gedjmnnppnh
BNA,DTW,423.1,231,opoqljbfgjl
IND,LAS,421.5,254,jilsigginmm
ALB,MCO,421.4,199,ilfgjilrnoj
BOS,SLC,421.0,396,qnlmeifnnhi
BWI,ORD,421.0,190,pporkhdefil
FLL,IND,420.7,172,lfflhmnntjf
GEG,SEA,420.0,181,ijkklqkkkhi
CLE,LGA,418.5,190,pplnkjeefjp
BOS,PIT,417.5,194,nnnqlicehkm
ATL,IND,413.8,255,nkknjhjiiln
CVG,FLL,413.3,181,mhdihlijsom
ATL,PBI,412.4,268,nhgkkkgolmk
CLT,TPA,410.5,245,lkkoljgllmg
DTW,ORD,409.7,229,mosqkhehgjj
OGG,SEA,409.6,398,fkfjmpjqhrh
DCA,IAH,408.5,315,lhjnkldholo
CLT,PHX,408.4,347,fcipmmflppl
KOA,LAX,408.4,362,uphhjmgfjkj
BUF,JFK,407.4,141,osppmkadegn
DTW,SEA,406.7,320,wwnkhkacehn
BWI,IAH,405.5,170,nkjnmkfhkmk
EWR,JAX,404.8,215,kkgknogkkll
MCO,SAT,403.0,220,oggmmphmnig
JAX,JFK,402.3,191,ijkmmphhljj
CLT,DTW,401.8,239,polpkjdigjk
BNA,SEA,400.7,294,upnkjhadglq
MIA,MSP,400.0,259,efbgioqswlf
FLL,MSY,399.9,127,hffjmmkqooh
PHX,TPA,399.6,329,ecfllminqon
CLE,DEN,399.6,211,uqolhldeghl
BWI,MDW,399.6,183,srotliaefgj
IND,LGA,399.1,234,lklplldgiln
DCA,PHX,397.3,348,ffimkngkqmn
LAX,LIH,395.7,361,wrkjjjccimj
LGA,MCI,395.0,313,llmnmoddikn
IND,PHX,394.5,305,ffhpjkfmspk
IAD,LAS,394.3,360,qojkjkghjkk
BNA,JFK,394.1,174,lomqombehkj
OGG,SFO,390.9,385,smghkqehhni
BOS,JAX,390.7,211,kjiojleimol
PSP,SEA,390.7,242,88ahlmmwvxf
LAS,ONT,388.9,140,kopnkihlfgn
BNA,DAL,388.8,228,klmqmkchhkn
MSP,PDX,388.4,235,Cxonjj89dfj
DTW,PHL,388.1,246,pqnpnicffhk
HOU,PHX,387.2,204,ihipkmglmkl
PHL,SAN,387.0,344,nmjmkndhkkk
DEN,SJC,387.0,262,qqroljcffgj
DCA,STL,386.9,227,olkmjjcflmp
ABQ,PHX,385.8,202,jjmokjgljlk
CLE,PHX,385.6,244,ifgmjignsml
DEN,FLL,385.3,326,hfdhjtknxih
DCA,MSY,385.0,249,iignjlimnml
DAL,LAX,384.7,218,oigjhoflllo
DFW,IND,382.8,242,nmmplichjkj
ATL,SLC,382.7,453,lhlkhmgrlki
CVG,DEN,381.8,200,uopnhidfigk
LAX,RDU,380.3,337,pkhmlodhkkl
DTW,MSP,379.4,298,utnpkjcddhi
ATL,CMH,378.0,228,olkmihejkmn
ATL,MCI,377.8,282,njlokjdijnl
BDL,SJU,375.5,225,mnddgojlloo
FLL,MSP,374.8,261,bb9ehntxBle
IND,TPA,374.5,218,lgiphifjumj
CHS,EWR,373.5,181,hhgnqoeimnk
HPN,MCO,373.4,190,pqknilgijjh
IAH,TPA,372.3,207,tlikmnggjjg
DAL,MSY,371.9,181,jlmrmlejhjk
EWR,MSY,371.8,245,defnnngkmsn
BNA,CLT,371.7,224,kknpjicklml
BQN,MCO,370.4,155,olgkprgffio
BOI,PHX,369.6,196,hfhmmlinnll
OMA,PHX,369.6,253,hfhnlmioqji
CLE,ORD,369.5,222,lnonjjdhjkm
LAS,RDU,369.5,293,lkkmiijklkk
DFW,JFK,369.1,232,ttoqsva7abe
IAH,MSP,368.3,286,ljjljlgjnlm
PHL,SEA,368.2,321,vxnkghaafkq
ATL,SAT,367.8,268,pjjnkmejkjk
LAX,RNO,367.7,176,orlkilkkihe
BOS,MSY,367.5,239,iggvlkejlnl
BDL,TPA,367.2,184,klhkjminjmk
BWI,DFW,366.7,193,tmknmpddfjl
PIT,TPA,365.6,208,mlhljkfknnk
LGB,OAK,365.3,167,hmoqmmgjhih
ORD,PBI,364.9,292,fdagntkoulj
EWR,IND,362.3,203,kmjlnreeklj
HNL,PHX,362.1,398,niimilhhoip
CVG,LAS,361.1,234,lilmkhiknjk
IAD,TPA,360.8,224,okgikoijpii
OAK,PDX,360.2,174,qpmmkleggkj
DFW,MSY,359.7,188,igjpjhfqpmh
PHX,SAT,358.2,237,fehpnohlokk
MDW,RSW,358.0,233,hddkjllqwli
BNA,RDU,357.8,217,jklplibilnn
JFK,RSW,356.5,199,jkdijnjpmoh
BNA,MDW,355.0,185,rrqpkjadghj
RDU,SFO,354.8,358,nljllmdgjmm
HOU,LGA,354.7,225,mkhklofhnin
BUR,PDX,354.7,194,mokmlogkihh
BOS,CHS,354.5,213,lljolibekrp
IND,LAX,354.0,315,pljoiqdfijk
EWR,SNA,354.0,437,llkkknghklk
MSP,PHL,353.2,296,usmpjjbceim
PSP,SFO,353.1,212,bbfkmlkqurh
CVG,TPA,352.4,181,kgehilglrro
BWI,PHX,351.8,296,heinlohinnm
BOS,CLE,351.7,196,opqrlibdfil
BWI,CLT,350.4,184,rooskhbfhij
CHS,LGA,350.3,231,hhjnmneikoo
IAH,SLC,350.3,336,kiijgpjonjj
ATL,PIT,349.6,262,nllpljdhilm
SEA,TPA,347.3,327,qnighmeijno
CMH,FLL,346.6,173,mihiklkpujb
DEN,OKC,346.4,176,omnojkghhil
AUS,TPA,346.4,223,lihnnmfilll
CLT,MSP,345.7,268,snlolkbejik
AUS,MSY,345.1,171,iijqlkfmknk
AUS,FLL,344.5,155,fdcljrkntmi
IAD,ORD,343.2,241,ppnnki9chlr
DAL,STL,340.6,220,lmpplkdhijk
DAL,SAN,340.2,217,njinklejmlk
CVG,RSW,338.7,201,idcghnmsxmg
LAX,MCI,337.3,281,toonjjcghhl
BOS,IAD,336.8,203,nnooljcdjkn
HNL,SMF,336.4,332,nkkjjmikjjk
MCO,ORF,335.9,155,jkhjknilloj
MCO,MHT,335.4,192,iihnjjhnkql
DAL,DCA,335.1,202,qmjpkkcgjjm
DTW,SAN,335.1,376,sqllildhkii
CLT,JFK,334.2,198,ollqmncfgjl
CLE,EWR,334.1,206,ikjmnoeflln
AUS,PHL,332.2,288,nlmrpjbejjk
BWI,DAL,331.5,228,omkqloefihj
CLE,DFW,331.3,285,pmlnjkcgkjo
DCA,MDW,331.3,203,opkpkhadjmp
CVG,DFW,331.3,265,kjloijelmkk
LGB,SLC,331.2,199,hiknkmjokki
DAL,MCI,330.9,215,jlmokjejimm
IND,RSW,330.1,267,caakjmnvznf
MCI,ORD,330.1,248,mmopkidhhml
LAX,STL,329.3,280,lkhkmogikjm
KOA,OGG,328.7,93,qoiihljliij
MIA,SEA,328.5,314,nkfejqjkknm
ABQ,LAS,328.4,206,kkmnikeiokl
MSY,TPA,327.7,168,iggmlmhqnnh
LAX,MDW,327.7,231,uomojlddhhj
JAX,PHL,327.2,230,mlhnklfhlmk
DCA,SEA,326.8,355,nokjjkfijll
BWI,SJU,326.7,235,una9esmlonh
LGB,PHX,326.4,151,eejnlljpmmk
FLL,PHX,326.3,257,a8ciosspvjg
